"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Lower","11 Oct 2025, 19:27","11 Oct 2025, 20:28","","Squat (Barbell)",,"",1,"normal",275,7,,,
"Lower","11 Oct 2025, 19:27","11 Oct 2025, 20:28","","Seated Palms Up Wrist Curl",,"",0,"normal",20,8,,,
"Lower","11 Oct 2025, 19:27","11 Oct 2025, 20:28","","Seated Palms Up Wrist Curl",,"",1,"normal",20,8,,,
"Lower","11 Oct 2025, 19:27","11 Oct 2025, 20:28","","Seated Palms Up Wrist Curl",,"",2,"normal",20,8,,,
"Lower","11 Oct 2025, 19:27","11 Oct 2025, 20:28","","Seated Palms Up Wrist Curl",,"",3,"normal",15,8,,,
"Lower","11 Oct 2025, 19:27","11 Oct 2025, 20:28","","Seated Leg Curl (Machine)",,"",0,"normal",145,5,,,
"Lower","11 Oct 2025, 19:27","11 Oct 2025, 20:28","","Seated Leg Curl (Machine)",,"",1,"normal",135,6,,,
"Lower","11 Oct 2025, 19:27","11 Oct 2025, 20:28","","Seated Leg Curl (Machine)",,"",2,"normal",130,8,,,
"Lower","11 Oct 2025, 19:27","11 Oct 2025, 20:28","","Seated Leg Curl (Machine)",,"",3,"normal",130,6,,,
"Lower","11 Oct 2025, 19:27","11 Oct 2025, 20:28","","Leg Extension (Machine)",,"",0,"normal",240,7,,,
"Lower","11 Oct 2025, 19:27","11 Oct 2025, 20:28","","Leg Extension (Machine)",,"",1,"normal",240,6,,,
"Lower","11 Oct 2025, 19:27","11 Oct 2025, 20:28","","Leg Extension (Machine)",,"",2,"normal",240,7,,,
"Upper","9 Oct 2025, 22:10","9 Oct 2025, 23:29","","Incline Bench Press (Dumbbell)",,"",0,"normal",150,8,,,
"Upper","9 Oct 2025, 22:10","9 Oct 2025, 23:29","","Incline Bench Press (Dumbbell)",,"",1,"normal",150,6,,,
"Upper","9 Oct 2025, 22:10","9 Oct 2025, 23:29","","Incline Bench Press (Dumbbell)",,"",2,"normal",140,6,,,
"Upper","9 Oct 2025, 22:10","9 Oct 2025, 23:29","","Incline Bench Press (Dumbbell)",,"",3,"normal",140,5,,,
"Upper","9 Oct 2025, 22:10","9 Oct 2025, 23:29","","Pull Up (Weighted)",,"",0,"normal",35,7,,,
"Upper","9 Oct 2025, 22:10","9 Oct 2025, 23:29","","Pull Up (Weighted)",,"",1,"normal",25,7,,,
"Upper","9 Oct 2025, 22:10","9 Oct 2025, 23:29","","Pull Up (Weighted)",,"",2,"normal",,8,,,
"Upper","9 Oct 2025, 22:10","9 Oct 2025, 23:29","","Pull Up (Weighted)",,"",3,"normal",,6,,,
"Upper","9 Oct 2025, 22:10","9 Oct 2025, 23:29","","Bent Over Row (Barbell)",,"",0,"normal",165,7,,,
"Upper","9 Oct 2025, 22:10","9 Oct 2025, 23:29","","Bent Over Row (Barbell)",,"",1,"normal",155,7,,,
"Upper","9 Oct 2025, 22:10","9 Oct 2025, 23:29","","Bent Over Row (Barbell)",,"",2,"normal",155,6,,,
"Upper","9 Oct 2025, 22:10","9 Oct 2025, 23:29","","Bent Over Row (Barbell)",,"",3,"normal",135,7,,,
"Upper","9 Oct 2025, 22:10","9 Oct 2025, 23:29","","Tricep Extension (Rope)",,"",0,"normal",40,6,,,
"Upper","9 Oct 2025, 22:10","9 Oct 2025, 23:29","","Tricep Extension (Rope)",,"",1,"normal",35,8,,,
